試合ID,日付,ラウンド,プール,イニング,攻撃チーム,守備チーム,投手ID,投手,打者ID,打者,イベント種別,選手ID,選手,移動前の塁,移動後の塁
788137,2026-03-07,Pool A,A,10,Panama,Puerto Rico,664744,Jose Espada,624641,Edmundo Sosa,盗塁（二塁）,676609,José Caballero,1B,2B
788107,2026-03-07,Pool D,D,2,Venezuela,Israel,810897,Charlie Beilenson,672580,Maikel Garcia,盗塁（二塁）,678662,Ezequiel Tovar,1B,2B
788107,2026-03-07,Pool D,D,5,Venezuela,Israel,802363,Jordan Geber,677800,Wilyer Abreu,暴投,553993,Eugenio Suárez,1B,2B
788107,2026-03-07,Pool D,D,6,Venezuela,Israel,679946,Daniel Federman,691594,Javier Sanoja,盗塁（二塁）,650402,Gleyber Torres,1B,2B
788107,2026-03-07,Pool D,D,6,Venezuela,Israel,679946,Daniel Federman,660670,Ronald Acuña Jr.,暴投,650402,Gleyber Torres,2B,3B
788107,2026-03-07,Pool D,D,6,Venezuela,Israel,679946,Daniel Federman,660670,Ronald Acuña Jr.,暴投,678662,Ezequiel Tovar,1B,2B
788107,2026-03-07,Pool D,D,6,Venezuela,Israel,641739,Rob Kaminsky,650333,Luis Arraez,盗塁（二塁）,672580,Maikel Garcia,1B,2B
788127,2026-03-07,Pool B,B,5,United States,Great Britain,668687,Andre Scrubb,656941,Kyle Schwarber,暴投,676391,Ernie Clement,3B,score
788127,2026-03-07,Pool B,B,5,United States,Great Britain,668687,Andre Scrubb,656941,Kyle Schwarber,暴投,691718,Pete Crow-Armstrong,2B,3B
788113,2026-03-08,Pool C,C,3,Chinese Taipei,Korea,547943,Hyun Jin Ryu,656413,Stuart Fairchild,盗塁（三塁）,691907,Tsung-Che Cheng,2B,3B
788113,2026-03-08,Pool C,C,3,Korea,Chinese Taipei,830716,Ruei-Yang Gu Lin,673526,Dong Won Park,牽制盗塁死（二塁）,823572,Ju Won Kim,1B,
788113,2026-03-08,Pool C,C,10,Korea,Chinese Taipei,809004,Jyun-Yue Tseng,838339,Do Yeong Kim,盗塁（二塁）,808975,Hyeseong Kim,1B,2B
788109,2026-03-08,Pool C,C,1,Japan,Australia,628015,Connor MacDonald,807799,Masataka Yoshida,暴投,673548,Seiya Suzuki,1B,2B
788109,2026-03-08,Pool C,C,4,Australia,Japan,608372,Tomoyuki Sugano,673064,Alex Hall,盗塁（二塁）,664334,Aaron Whitefield,1B,2B
788109,2026-03-08,Pool C,C,6,Australia,Japan,838757,Chihiro Sumida,673064,Alex Hall,盗塁（三塁）,664334,Aaron Whitefield,2B,3B
788109,2026-03-08,Pool C,C,8,Japan,Australia,673132,Ky Hampton,808957,Shugo Maki,盗塁（二塁）,683970,Ukyo Shuto,1B,2B
788135,2026-03-08,Pool A,A,1,Colombia,Cuba,682644,Denny Larrondo,456781,Donovan Solano,盗塁（二塁）,703197,Michael Arroyo,1B,2B
788135,2026-03-08,Pool A,A,2,Colombia,Cuba,682644,Denny Larrondo,703197,Michael Arroyo,暴投,682679,Dayan Frias,1B,2B
788135,2026-03-08,Pool A,A,6,Cuba,Colombia,664375,Ezequiel Zabaleta,691268,Yiddi Cappe,盗塁（二塁）,838354,Leonel Moas Jr.,1B,2B
788135,2026-03-08,Pool A,A,7,Colombia,Cuba,820888,Emmanuel Chapman,623912,Harold Ramírez,暴投,703197,Michael Arroyo,1B,2B
788106,2026-03-08,Pool D,D,1,Dominican Republic,Kingdom of the Netherlands,687677,Arij Fransen,606466,Ketel Marte,捕逸,665487,Fernando Tatis Jr.,1B,2B
788106,2026-03-08,Pool D,D,5,Dominican Republic,Kingdom of the Netherlands,622464,Wendell Floranus,592518,Manny Machado,盗塁（二塁）,665742,Juan Soto,1B,2B
788106,2026-03-08,Pool D,D,5,Dominican Republic,Kingdom of the Netherlands,838329,Justin Morales,606466,Ketel Marte,捕逸,570481,Erik González,2B,3B
788124,2026-03-08,Pool B,B,1,Great Britain,Italy,690626,Dylan DeLucia,681230,BJ Murray,盗塁（二塁）,665862,Jazz Chisholm Jr.,1B,2B
788124,2026-03-08,Pool B,B,1,Great Britain,Italy,690626,Dylan DeLucia,671155,Ivan Johnson,暴投,681987,Nate Eaton,3B,score
788124,2026-03-08,Pool B,B,1,Great Britain,Italy,690626,Dylan DeLucia,671155,Ivan Johnson,暴投,665862,Jazz Chisholm Jr.,2B,3B
788124,2026-03-08,Pool B,B,1,Great Britain,Italy,690626,Dylan DeLucia,671155,Ivan Johnson,暴投,665862,Jazz Chisholm Jr.,3B,score
788124,2026-03-08,Pool B,B,1,Great Britain,Italy,690626,Dylan DeLucia,671155,Ivan Johnson,暴投,681987,Nate Eaton,3B,score
788124,2026-03-08,Pool B,B,1,Great Britain,Italy,690626,Dylan DeLucia,671155,Ivan Johnson,暴投,665862,Jazz Chisholm Jr.,2B,3B
788124,2026-03-08,Pool B,B,1,Great Britain,Italy,690626,Dylan DeLucia,671155,Ivan Johnson,暴投,665862,Jazz Chisholm Jr.,3B,score
788124,2026-03-08,Pool B,B,4,Great Britain,Italy,838341,Gabriele Quattrini,689288,Matt Koperniak,盗塁（二塁）,677565,Kristian Robinson,1B,2B
788124,2026-03-08,Pool B,B,8,Great Britain,Italy,676760,Ron Marinaccio,671155,Ivan Johnson,盗塁（二塁）,681230,BJ Murray,1B,2B
788124,2026-03-08,Pool B,B,8,Great Britain,Italy,676760,Ron Marinaccio,671155,Ivan Johnson,暴投,665862,Jazz Chisholm Jr.,3B,score
788124,2026-03-08,Pool B,B,8,Great Britain,Italy,676760,Ron Marinaccio,671155,Ivan Johnson,暴投,681230,BJ Murray,2B,3B
788104,2026-03-08,Pool D,D,2,Israel,Nicaragua,692230,Carlos Rodriguez,695372,Jake Gelof,盗塁（二塁）,694249,Cole Carrigg,1B,2B
788104,2026-03-08,Pool D,D,6,Israel,Nicaragua,469191,Carlos Teller,667690,C.J. Stubbs,牽制（一塁）,702331,Noah Mendlinger,1B,
788134,2026-03-08,Pool A,A,5,Panama,Canada,683328,Antoine Jean,699024,Leo Bernal,盗塁（二塁）,690961,Enrique Bradfield Jr.,1B,2B
788134,2026-03-08,Pool A,A,5,Canada,Panama,686857,James Gonzalez,676724,Jared Young,盗塁（二塁）,641933,Tyler O'Neill,1B,2B
788134,2026-03-08,Pool A,A,6,Panama,Canada,572020,James Paxton,676609,José Caballero,盗塁（二塁）,690961,Enrique Bradfield Jr.,1B,2B
