試合ID,日付,ラウンド,プール,イニング,攻撃チーム,守備チーム,投手ID,投手,打者ID,打者,投球数,打席結果,打点,一塁走者あり,二塁走者あり,三塁走者あり,打席,打数,安打,一塁打,二塁打,三塁打,本塁打,三振,四球,死球,犠打犠飛,塁打数
788120,2026-03-05,Pool C,C,5,Australia,Chinese Taipei,696040,Po-Yu Chen,678534,Rixon Wingrove,1,死球,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
788120,2026-03-05,Pool C,C,5,Australia,Chinese Taipei,696040,Po-Yu Chen,564434,Robbie Perkins,3,本塁打,2,1,0,0,1,1,1,0,0,0,1,0,0,0,0,4
788120,2026-03-05,Pool C,C,5,Australia,Chinese Taipei,696040,Po-Yu Chen,678521,Chris Burke,3,三振,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
788120,2026-03-05,Pool C,C,5,Australia,Chinese Taipei,696040,Po-Yu Chen,470491,Tim Kennelly,5,四球,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
788120,2026-03-05,Pool C,C,5,Australia,Chinese Taipei,696040,Po-Yu Chen,683953,Travis Bazzana,5,アウト,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
788120,2026-03-05,Pool C,C,5,Australia,Chinese Taipei,696040,Po-Yu Chen,678554,Curtis Mead,5,三振,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
788120,2026-03-05,Pool C,C,6,Chinese Taipei,Australia,672552,Jack O'Loughlin,808992,Chen-Wei Chen,5,アウト,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
788120,2026-03-05,Pool C,C,6,Chinese Taipei,Australia,672552,Jack O'Loughlin,656413,Stuart Fairchild,6,三振,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
788120,2026-03-05,Pool C,C,6,Chinese Taipei,Australia,672552,Jack O'Loughlin,838360,An-Ko Lin,2,安打,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1
788120,2026-03-05,Pool C,C,6,Chinese Taipei,Australia,672552,Jack O'Loughlin,808993,Chieh-Hsien Chen,3,死球,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
788120,2026-03-05,Pool C,C,6,Chinese Taipei,Australia,672552,Jack O'Loughlin,644374,Yu Chang,4,アウト,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
788120,2026-03-05,Pool C,C,6,Australia,Chinese Taipei,806844,Yi-Lei Sun,664334,Aaron Whitefield,6,三振,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
788120,2026-03-05,Pool C,C,6,Australia,Chinese Taipei,806844,Yi-Lei Sun,673064,Alex Hall,5,アウト,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
788120,2026-03-05,Pool C,C,6,Australia,Chinese Taipei,806844,Yi-Lei Sun,673062,Jarryd Dale,7,四球,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
788120,2026-03-05,Pool C,C,6,Australia,Chinese Taipei,806844,Yi-Lei Sun,678534,Rixon Wingrove,3,安打,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1
788120,2026-03-05,Pool C,C,6,Australia,Chinese Taipei,806844,Yi-Lei Sun,564434,Robbie Perkins,5,四球,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
788120,2026-03-05,Pool C,C,6,Australia,Chinese Taipei,838359,Yi Chang,678521,Chris Burke,2,アウト,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
