試合ID,イニング,攻撃チーム,得点,安打数,失策,残塁,累積得点,得点差
788111,9,Japan,0,0,0,0,9,9
788102,1,Israel,0,0,0,0,0,0
788102,1,Kingdom of the Netherlands,2,1,0,1,2,2
788102,2,Israel,1,1,0,1,1,-1
788102,2,Kingdom of the Netherlands,0,0,0,0,2,1
788102,3,Israel,0,1,0,1,1,-1
788102,3,Kingdom of the Netherlands,0,0,0,0,2,1
788102,4,Israel,0,0,0,0,1,-1
788102,4,Kingdom of the Netherlands,0,0,0,0,2,1
788102,5,Israel,0,0,0,0,1,-1
788102,5,Kingdom of the Netherlands,0,0,0,2,2,1
788102,6,Israel,5,4,0,1,6,4
788102,6,Kingdom of the Netherlands,0,1,1,0,2,-4
788102,7,Israel,0,0,0,0,6,4
788102,7,Kingdom of the Netherlands,0,0,0,1,2,-4
788102,8,Israel,0,1,0,1,6,4
788102,8,Kingdom of the Netherlands,0,1,0,2,2,-4
788102,9,Israel,0,1,0,1,6,4
788102,9,Kingdom of the Netherlands,0,0,0,3,2,-4
788132,1,Canada,0,0,0,0,0,0
788132,1,Puerto Rico,1,1,0,1,1,1
788132,2,Canada,0,0,0,0,0,-1
788132,2,Puerto Rico,0,0,0,0,1,1
788132,3,Canada,2,2,0,3,2,1
788132,3,Puerto Rico,0,0,0,0,1,-1
788132,4,Canada,1,2,0,0,3,2
788132,4,Puerto Rico,1,2,0,1,2,-1
788132,5,Canada,0,0,0,0,3,1
788132,5,Puerto Rico,0,1,0,1,2,-1
788132,6,Canada,0,0,0,2,3,1
788132,6,Puerto Rico,0,1,0,1,2,-1
788132,7,Canada,0,0,0,0,3,1
788132,7,Puerto Rico,0,0,0,0,2,-1
788132,8,Canada,0,0,0,0,3,1
788132,8,Puerto Rico,0,0,0,0,2,-1
788132,9,Canada,0,1,0,3,3,1
788132,9,Puerto Rico,0,0,0,0,2,-1
788119,1,Italy,0,0,0,0,0,0
788119,1,United States,0,0,0,1,0,0
788119,2,Italy,3,2,0,0,3,3
788119,2,United States,0,0,0,0,0,-3
788119,3,Italy,0,0,0,2,3,3
788119,3,United States,0,1,1,1,0,-3
788119,4,Italy,2,1,0,0,5,5
788119,4,United States,0,1,0,1,0,-5
788119,5,Italy,0,0,0,0,5,5
788119,5,United States,0,0,0,0,0,-5
788119,6,Italy,3,1,0,0,8,8
788119,6,United States,1,1,1,0,1,-7
788119,7,Italy,0,0,0,0,8,7
788119,7,United States,3,3,0,0,4,-4
788119,8,Italy,0,2,0,3,8,4
788119,8,United States,1,3,0,2,5,-3
788119,9,Italy,0,0,0,0,8,3
788119,9,United States,1,2,0,1,6,-2
788130,1,Canada,0,1,0,3,0,0
788130,1,Cuba,0,1,1,1,0,0
788130,2,Canada,0,0,0,1,0,0
788130,2,Cuba,0,0,0,0,0,0
788130,3,Canada,1,2,0,1,1,1
788130,3,Cuba,0,0,0,0,0,-1
788130,4,Canada,0,1,0,1,1,1
788130,4,Cuba,0,1,0,0,0,-1
788130,5,Canada,1,1,1,0,2,2
788130,5,Cuba,1,0,0,0,1,-1
788130,6,Canada,3,2,0,1,5,4
788130,6,Cuba,1,2,2,3,2,-3
788130,7,Canada,0,0,1,1,5,3
788130,7,Cuba,0,1,0,2,2,-3
788130,8,Canada,1,2,0,1,6,4
788130,8,Cuba,0,0,0,0,2,-4
788130,9,Canada,1,2,0,0,7,5
788130,9,Cuba,0,0,0,0,2,-5
788121,1,Italy,0,0,0,0,0,0
788121,1,Mexico,0,1,0,1,0,0
788121,2,Italy,1,1,0,0,1,1
788121,2,Mexico,0,1,0,0,0,-1
788121,3,Italy,0,1,0,0,1,1
788121,3,Mexico,0,1,0,0,0,-1
788121,4,Italy,1,1,0,0,2,2
788121,4,Mexico,0,1,0,1,0,-2
788121,5,Italy,3,2,0,1,5,5
788121,5,Mexico,0,0,0,0,0,-5
788121,6,Italy,1,1,0,0,6,6
788121,6,Mexico,0,0,0,2,0,-6
788121,7,Italy,1,1,0,1,7,7
788121,7,Mexico,1,1,1,2,1,-6
788121,8,Italy,2,3,0,1,9,8
788121,8,Mexico,0,0,0,3,1,-8
788121,9,Italy,0,0,0,2,9,8
788121,9,Mexico,0,0,0,1,1,-8
788101,1,Dominican Republic,2,2,0,1,2,2
788101,1,Venezuela,1,2,0,2,1,-1
788101,2,Dominican Republic,0,0,0,0,2,1
788101,2,Venezuela,0,1,0,0,1,-1
788101,3,Dominican Republic,2,2,0,0,4,3
788101,3,Venezuela,2,2,0,1,3,-1
788101,4,Dominican Republic,3,2,0,0,7,4
788101,4,Venezuela,0,0,0,1,3,-4
788101,5,Dominican Republic,0,0,0,0,7,4
788101,5,Venezuela,0,1,0,1,3,-4
788101,6,Dominican Republic,0,1,0,1,7,4
788101,6,Venezuela,0,0,0,1,3,-4
788101,7,Dominican Republic,0,2,0,2,7,4
788101,7,Venezuela,0,1,0,2,3,-4
788101,8,Dominican Republic,0,0,0,1,7,4
788101,8,Venezuela,0,0,0,0,3,-4
788101,9,Dominican Republic,0,2,1,2,7,4
788101,9,Venezuela,2,0,0,1,5,-2
788095,1,Korea,0,0,0,0,0,0
788095,1,Dominican Republic,0,0,0,0,0,0
788095,2,Korea,0,0,0,0,0,0
788095,2,Dominican Republic,3,3,0,2,3,3
788095,3,Korea,0,0,0,1,0,-3
788095,3,Dominican Republic,4,4,0,3,7,7
788095,4,Korea,0,2,0,1,0,-7
788095,4,Dominican Republic,0,0,0,0,7,7
788095,5,Korea,0,0,0,0,0,-7
788095,5,Dominican Republic,0,0,0,0,7,7
788095,6,Korea,0,0,0,0,0,-7
788095,6,Dominican Republic,0,0,0,0,7,7
788095,7,Korea,0,0,0,0,0,-7
788095,7,Dominican Republic,3,2,1,0,10,10
788100,1,United States,1,1,0,1,1,1
788100,1,Canada,0,2,0,2,0,-1
788100,2,United States,0,0,0,0,1,1
788100,2,Canada,0,1,0,1,0,-1
788100,3,United States,2,3,0,2,3,3
788100,3,Canada,0,0,1,0,0,-3
788100,4,United States,0,1,0,1,3,3
788100,4,Canada,0,1,0,1,0,-3
788100,5,United States,0,0,0,0,3,3
788100,5,Canada,0,0,0,1,0,-3
788100,6,United States,2,3,0,1,5,5
788100,6,Canada,3,2,0,0,3,-2
788100,7,United States,0,0,0,0,5,2
788100,7,Canada,0,2,0,2,3,-2
788100,8,United States,0,0,0,0,5,2
788100,8,Canada,0,0,0,0,3,-2
788100,9,United States,0,0,0,1,5,2
788100,9,Canada,0,0,0,0,3,-2
788098,1,Puerto Rico,1,1,0,0,1,1
788098,1,Italy,4,3,0,2,4,3
788098,2,Puerto Rico,1,0,0,3,2,-2
788098,2,Italy,0,2,0,3,4,2
788098,3,Puerto Rico,0,0,0,0,2,-2
788098,3,Italy,0,1,0,1,4,2
788098,4,Puerto Rico,0,1,0,1,2,-2
788098,4,Italy,4,2,0,1,8,6
788098,5,Puerto Rico,0,1,0,1,2,-6
788098,5,Italy,0,0,0,0,8,6
788098,6,Puerto Rico,0,0,0,0,2,-6
788098,6,Italy,0,0,0,0,8,6
788098,7,Puerto Rico,0,0,0,2,2,-6
788098,7,Italy,0,0,1,0,8,6
788098,8,Puerto Rico,4,3,0,2,6,-2
788098,8,Italy,0,0,0,2,8,2
788098,9,Puerto Rico,0,1,0,1,6,-2
788098,9,Italy,0,0,0,0,8,2
788097,1,Venezuela,1,1,0,0,1,1
788097,1,Japan,1,1,0,0,1,0
788097,2,Venezuela,1,2,0,2,2,1
788097,2,Japan,0,0,0,0,1,-1
788097,3,Venezuela,0,1,0,1,2,1
788097,3,Japan,4,3,0,1,5,3
788097,4,Venezuela,0,0,0,0,2,-3
788097,4,Japan,0,1,0,2,5,3
788097,5,Venezuela,2,1,0,0,4,-1
788097,5,Japan,0,0,0,0,5,1
788097,6,Venezuela,3,3,0,0,7,2
788097,6,Japan,0,0,0,0,5,-2
788097,7,Venezuela,0,0,0,0,7,2
788097,7,Japan,0,0,0,0,5,-2
788097,8,Venezuela,1,1,0,0,8,3
788097,8,Japan,0,2,1,2,5,-3
788097,9,Venezuela,0,1,0,1,8,3
788097,9,Japan,0,0,0,0,5,-3
788096,1,United States,0,1,0,2,0,0
788096,1,Dominican Republic,0,0,0,0,0,0
788096,2,United States,0,1,0,0,0,0
788096,2,Dominican Republic,1,1,0,0,1,1
788096,3,United States,0,2,0,2,0,-1
788096,3,Dominican Republic,0,1,0,1,1,1
788096,4,United States,2,2,0,1,2,1
788096,4,Dominican Republic,0,2,1,3,1,-1
788096,5,United States,0,1,0,1,2,1
788096,5,Dominican Republic,0,2,0,1,1,-1
788096,6,United States,0,0,0,0,2,1
788096,6,Dominican Republic,0,0,0,0,1,-1
788096,7,United States,0,0,0,0,2,1
788096,7,Dominican Republic,0,2,0,2,1,-1
788096,8,United States,0,0,0,0,2,1
788096,8,Dominican Republic,0,0,0,0,1,-1
788096,9,United States,0,0,0,0,2,1
788096,9,Dominican Republic,0,0,0,1,1,-1
788093,1,Venezuela,0,1,0,0,0,0
788093,1,Italy,0,1,0,0,0,0
788093,2,Venezuela,0,1,0,1,0,0
788093,2,Italy,2,1,0,2,2,2
788093,3,Venezuela,0,0,0,1,0,-2
788093,3,Italy,0,0,0,1,2,2
788093,4,Venezuela,1,2,0,1,1,-1
788093,4,Italy,0,1,0,1,2,1
788093,5,Venezuela,0,0,0,1,1,-1
788093,5,Italy,0,0,0,1,2,1
788093,6,Venezuela,0,0,0,0,1,-1
788093,6,Italy,0,2,0,3,2,1
788093,7,Venezuela,3,4,0,2,4,2
788093,7,Italy,0,0,0,0,2,-2
788093,8,Venezuela,0,0,0,0,4,2
788093,8,Italy,0,0,0,0,2,-2
788093,9,Venezuela,0,0,0,0,4,2
788093,9,Italy,0,0,0,0,2,-2
788094,1,Venezuela,0,1,0,0,0,0
788094,1,United States,0,0,0,0,0,0
788094,2,Venezuela,0,1,0,1,0,0
788094,2,United States,0,0,0,0,0,0
788094,3,Venezuela,1,1,0,1,1,1
788094,3,United States,0,1,0,1,0,-1
788094,4,Venezuela,0,0,0,0,1,1
788094,4,United States,0,0,0,1,0,-1
788094,5,Venezuela,1,1,0,0,2,2
788094,5,United States,0,0,0,0,0,-2
788094,6,Venezuela,0,0,0,0,2,2
788094,6,United States,0,1,0,1,0,-2
788094,7,Venezuela,0,1,0,1,2,2
788094,7,United States,0,0,0,1,0,-2
788094,8,Venezuela,0,0,0,0,2,2
788094,8,United States,2,1,0,0,2,0
788094,9,Venezuela,1,1,0,2,3,1
788094,9,United States,0,0,0,0,2,-1
