試合ID,日付,ラウンド,プール,イニング,攻撃チーム,守備チーム,投手ID,投手,打者ID,打者,投球番号,球種,判定,ストライク,ボール,球速（km/h）,ストライク判定,スイング,コンタクト,結果グループ
788120,2026-03-05,Pool C,C,2,Chinese Taipei,Australia,649144,Alex Wells,809006,Nien-Ting Wu,2,スライダー,ストライク（見逃し）,2,0,130.7,1,0,0,ストライク
788120,2026-03-05,Pool C,C,2,Chinese Taipei,Australia,649144,Alex Wells,809006,Nien-Ting Wu,3,直球,インプレー,2,0,137.4,1,1,1,インプレー
788120,2026-03-05,Pool C,C,2,Chinese Taipei,Australia,649144,Alex Wells,808997,Kun-Yu Chiang,1,直球,ボール,0,1,140.2,0,0,0,ボール
788120,2026-03-05,Pool C,C,2,Chinese Taipei,Australia,649144,Alex Wells,808997,Kun-Yu Chiang,2,チェンジアップ,ストライク（見逃し）,1,1,132.6,1,0,0,ストライク
788120,2026-03-05,Pool C,C,2,Chinese Taipei,Australia,649144,Alex Wells,808997,Kun-Yu Chiang,3,チェンジアップ,ストライク（空振り）,2,1,132.8,1,1,0,ストライク
788120,2026-03-05,Pool C,C,2,Chinese Taipei,Australia,649144,Alex Wells,808997,Kun-Yu Chiang,4,チェンジアップ,ボール,2,2,133.3,0,0,0,ボール
788120,2026-03-05,Pool C,C,2,Chinese Taipei,Australia,649144,Alex Wells,808997,Kun-Yu Chiang,5,直球,ボール,2,3,141.0,0,0,0,ボール
788120,2026-03-05,Pool C,C,2,Chinese Taipei,Australia,649144,Alex Wells,808997,Kun-Yu Chiang,6,チェンジアップ,ストライク（空振り）,3,3,132.0,1,1,0,ストライク
788120,2026-03-05,Pool C,C,2,Chinese Taipei,Australia,649144,Alex Wells,624407,Tzu-Wei Lin,1,直球,ボール,0,1,140.3,0,0,0,ボール
788120,2026-03-05,Pool C,C,2,Chinese Taipei,Australia,649144,Alex Wells,624407,Tzu-Wei Lin,2,スライダー,ストライク（見逃し）,1,1,132.4,1,0,0,ストライク
788120,2026-03-05,Pool C,C,2,Chinese Taipei,Australia,649144,Alex Wells,624407,Tzu-Wei Lin,3,スライダー,ストライク（空振り）,2,1,131.5,1,1,0,ストライク
788120,2026-03-05,Pool C,C,2,Chinese Taipei,Australia,649144,Alex Wells,624407,Tzu-Wei Lin,4,スライダー,ボール,2,2,132.6,0,0,0,ボール
788120,2026-03-05,Pool C,C,2,Chinese Taipei,Australia,649144,Alex Wells,624407,Tzu-Wei Lin,5,直球,ファール,2,2,141.3,1,1,1,ファール
788120,2026-03-05,Pool C,C,2,Chinese Taipei,Australia,649144,Alex Wells,624407,Tzu-Wei Lin,6,スライダー,ボール,2,3,133.4,0,0,0,ボール
788120,2026-03-05,Pool C,C,2,Chinese Taipei,Australia,649144,Alex Wells,624407,Tzu-Wei Lin,7,スライダー,ストライク（空振り）,3,3,131.6,1,1,0,ストライク
788120,2026-03-05,Pool C,C,2,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,673062,Jarryd Dale,1,カーブ,ストライク（見逃し）,1,0,122.8,1,0,0,ストライク
788120,2026-03-05,Pool C,C,2,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,673062,Jarryd Dale,2,カットボール,インプレー,1,0,139.7,1,1,1,インプレー
788120,2026-03-05,Pool C,C,2,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,678534,Rixon Wingrove,1,チェンジアップ,ストライク（空振り）,1,0,135.2,1,1,0,ストライク
788120,2026-03-05,Pool C,C,2,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,678534,Rixon Wingrove,2,チェンジアップ,ボール,1,1,136.5,0,0,0,ボール
788120,2026-03-05,Pool C,C,2,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,678534,Rixon Wingrove,3,チェンジアップ,ストライク（空振り）,2,1,136.6,1,1,0,ストライク
788120,2026-03-05,Pool C,C,2,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,678534,Rixon Wingrove,4,チェンジアップ,ファール,2,1,137.4,1,1,1,ファール
788120,2026-03-05,Pool C,C,2,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,678534,Rixon Wingrove,5,直球,ファール,2,1,152.7,1,1,1,ファール
788120,2026-03-05,Pool C,C,2,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,678534,Rixon Wingrove,6,チェンジアップ,インプレー,2,1,136.6,1,1,1,インプレー
788120,2026-03-05,Pool C,C,2,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,564434,Robbie Perkins,1,直球,ストライク（空振り）,1,0,151.8,1,1,0,ストライク
788120,2026-03-05,Pool C,C,2,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,564434,Robbie Perkins,2,直球,ストライク（空振り）,2,0,151.8,1,1,0,ストライク
788120,2026-03-05,Pool C,C,2,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,564434,Robbie Perkins,3,チェンジアップ,ストライク（空振り）,3,0,135.8,1,1,0,ストライク
788120,2026-03-05,Pool C,C,3,Chinese Taipei,Australia,649144,Alex Wells,830725,Shao-Hung Chiang,1,直球,ストライク（見逃し）,1,0,140.2,1,0,0,ストライク
788120,2026-03-05,Pool C,C,3,Chinese Taipei,Australia,649144,Alex Wells,830725,Shao-Hung Chiang,2,チェンジアップ,ストライク（見逃し）,2,0,132.1,1,0,0,ストライク
788120,2026-03-05,Pool C,C,3,Chinese Taipei,Australia,649144,Alex Wells,830725,Shao-Hung Chiang,3,チェンジアップ,ストライク（空振り）,3,0,134.1,1,1,0,ストライク
788120,2026-03-05,Pool C,C,3,Chinese Taipei,Australia,649144,Alex Wells,808992,Chen-Wei Chen,1,スライダー,ストライク（見逃し）,1,0,131.6,1,0,0,ストライク
788120,2026-03-05,Pool C,C,3,Chinese Taipei,Australia,649144,Alex Wells,808992,Chen-Wei Chen,2,カーブ,ストライク（空振り）,2,0,115.9,1,1,0,ストライク
788120,2026-03-05,Pool C,C,3,Chinese Taipei,Australia,649144,Alex Wells,808992,Chen-Wei Chen,3,直球,ボール,2,1,139.9,0,0,0,ボール
788120,2026-03-05,Pool C,C,3,Chinese Taipei,Australia,649144,Alex Wells,808992,Chen-Wei Chen,4,スライダー,ストライク（空振り）,3,1,131.3,1,1,0,ストライク
788120,2026-03-05,Pool C,C,3,Chinese Taipei,Australia,649144,Alex Wells,656413,Stuart Fairchild,1,チェンジアップ,ファール,1,0,132.6,1,1,1,ファール
788120,2026-03-05,Pool C,C,3,Chinese Taipei,Australia,649144,Alex Wells,656413,Stuart Fairchild,2,スライダー,ストライク（見逃し）,2,0,130.0,1,0,0,ストライク
788120,2026-03-05,Pool C,C,3,Chinese Taipei,Australia,649144,Alex Wells,656413,Stuart Fairchild,3,直球,ボール,2,1,140.8,0,0,0,ボール
788120,2026-03-05,Pool C,C,3,Chinese Taipei,Australia,649144,Alex Wells,656413,Stuart Fairchild,4,チェンジアップ,ボール,2,2,133.7,0,0,0,ボール
788120,2026-03-05,Pool C,C,3,Chinese Taipei,Australia,649144,Alex Wells,656413,Stuart Fairchild,5,チェンジアップ,ファール,2,2,133.3,1,1,1,ファール
788120,2026-03-05,Pool C,C,3,Chinese Taipei,Australia,649144,Alex Wells,656413,Stuart Fairchild,6,スライダー,ストライク（見逃し）,3,2,134.1,1,0,0,ストライク
788120,2026-03-05,Pool C,C,3,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,678521,Chris Burke,1,カーブ,ストライク（見逃し）,1,0,122.5,1,0,0,ストライク
788120,2026-03-05,Pool C,C,3,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,678521,Chris Burke,2,カーブ,ボール,1,1,125.9,0,0,0,ボール
788120,2026-03-05,Pool C,C,3,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,678521,Chris Burke,3,直球,インプレー,1,1,149.5,1,1,1,インプレー
788120,2026-03-05,Pool C,C,3,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,470491,Tim Kennelly,1,カットボール,ボール,0,1,140.3,0,0,0,ボール
788120,2026-03-05,Pool C,C,3,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,470491,Tim Kennelly,2,直球,インプレー,0,1,150.3,1,1,1,インプレー
