試合ID,日付,ラウンド,プール,イニング,攻撃チーム,守備チーム,投手ID,投手,打者ID,打者,投球番号,球種,判定,ストライク,ボール,球速（km/h）,ストライク判定,スイング,コンタクト,結果グループ
788117,2026-03-07,Pool C,C,1,Czechia,Chinese Taipei,800018,Chen Zhong-Ao Zhuang,803013,Marek Chlup,8,カーブ,ファール,2,3,128.9,1,1,1,ファール
788117,2026-03-07,Pool C,C,1,Czechia,Chinese Taipei,800018,Chen Zhong-Ao Zhuang,803013,Marek Chlup,9,直球,ボール,2,4,152.6,0,0,0,ボール
788117,2026-03-07,Pool C,C,1,Czechia,Chinese Taipei,800018,Chen Zhong-Ao Zhuang,548431,Martin Cervenka,1,スライダー,ストライク（空振り）,1,0,127.6,1,1,0,ストライク
788117,2026-03-07,Pool C,C,1,Czechia,Chinese Taipei,800018,Chen Zhong-Ao Zhuang,548431,Martin Cervenka,2,カーブ,ファール,2,0,125.4,1,1,1,ファール
788117,2026-03-07,Pool C,C,1,Czechia,Chinese Taipei,800018,Chen Zhong-Ao Zhuang,548431,Martin Cervenka,3,直球,ストライク（空振り）,3,0,151.1,1,1,0,ストライク
788117,2026-03-07,Pool C,C,1,Czechia,Chinese Taipei,800018,Chen Zhong-Ao Zhuang,689650,Ryan Johnson,1,チェンジアップ,ストライク（見逃し）,2,0,130.0,1,0,0,ストライク
788117,2026-03-07,Pool C,C,1,Czechia,Chinese Taipei,800018,Chen Zhong-Ao Zhuang,689650,Ryan Johnson,2,直球,ファール,2,0,150.2,1,1,1,ファール
788117,2026-03-07,Pool C,C,1,Czechia,Chinese Taipei,800018,Chen Zhong-Ao Zhuang,689650,Ryan Johnson,3,直球,ストライク（空振り）,3,0,152.4,1,1,0,ストライク
788117,2026-03-07,Pool C,C,2,Chinese Taipei,Czechia,626416,Jan Novak,670076,Lyle Lin,1,直球,ボール,0,1,141.9,0,0,0,ボール
788117,2026-03-07,Pool C,C,2,Chinese Taipei,Czechia,626416,Jan Novak,670076,Lyle Lin,2,直球,インプレー,0,1,141.8,1,1,1,インプレー
788117,2026-03-07,Pool C,C,2,Chinese Taipei,Czechia,626416,Jan Novak,808997,Kun-Yu Chiang,1,ツーシーム,ボール,0,1,141.8,0,0,0,ボール
788117,2026-03-07,Pool C,C,2,Chinese Taipei,Czechia,626416,Jan Novak,808997,Kun-Yu Chiang,2,直球,インプレー,0,1,142.6,1,1,1,インプレー
788117,2026-03-07,Pool C,C,2,Chinese Taipei,Czechia,626416,Jan Novak,808992,Chen-Wei Chen,1,直球,ボール,0,1,142.4,0,0,0,ボール
788117,2026-03-07,Pool C,C,2,Chinese Taipei,Czechia,626416,Jan Novak,808992,Chen-Wei Chen,2,スライダー,ストライク（見逃し）,1,1,126.3,1,0,0,ストライク
788117,2026-03-07,Pool C,C,2,Chinese Taipei,Czechia,626416,Jan Novak,808992,Chen-Wei Chen,3,スライダー,死球,1,1,127.0,0,0,0,ボール
788117,2026-03-07,Pool C,C,2,Chinese Taipei,Czechia,626416,Jan Novak,691907,Tsung-Che Cheng,1,直球,ボール,0,1,142.1,0,0,0,ボール
788117,2026-03-07,Pool C,C,2,Chinese Taipei,Czechia,626416,Jan Novak,691907,Tsung-Che Cheng,2,直球,ストライク（空振り）,1,1,141.1,1,1,0,ストライク
788117,2026-03-07,Pool C,C,2,Chinese Taipei,Czechia,626416,Jan Novak,691907,Tsung-Che Cheng,3,直球,ボール,1,2,141.6,0,0,0,ボール
788117,2026-03-07,Pool C,C,2,Chinese Taipei,Czechia,626416,Jan Novak,691907,Tsung-Che Cheng,4,スライダー,ボール（自動）,1,3,125.9,0,0,0,ボール
788117,2026-03-07,Pool C,C,2,Chinese Taipei,Czechia,626416,Jan Novak,691907,Tsung-Che Cheng,5,スライダー,ボール,1,4,122.5,0,0,0,ボール
788117,2026-03-07,Pool C,C,2,Chinese Taipei,Czechia,626416,Jan Novak,830723,Cheng-Hui Sung,1,チェンジアップ,ボール,0,1,134.2,0,0,0,ボール
788117,2026-03-07,Pool C,C,2,Chinese Taipei,Czechia,626416,Jan Novak,830723,Cheng-Hui Sung,2,チェンジアップ,ボール,0,2,133.4,0,0,0,ボール
788117,2026-03-07,Pool C,C,2,Chinese Taipei,Czechia,626416,Jan Novak,830723,Cheng-Hui Sung,3,直球,ボール,0,3,140.8,0,0,0,ボール
788117,2026-03-07,Pool C,C,2,Chinese Taipei,Czechia,626416,Jan Novak,830723,Cheng-Hui Sung,4,直球,ボール,0,4,140.3,0,0,0,ボール
788117,2026-03-07,Pool C,C,2,Chinese Taipei,Czechia,626416,Jan Novak,656413,Stuart Fairchild,1,チェンジアップ,エラー（投球）,0,0,133.9,0,0,0,ボール
788117,2026-03-07,Pool C,C,2,Chinese Taipei,Czechia,626416,Jan Novak,644374,Yu Chang,1,直球,ファール,1,0,141.6,1,1,1,ファール
788117,2026-03-07,Pool C,C,2,Chinese Taipei,Czechia,626416,Jan Novak,644374,Yu Chang,2,スライダー,ボール,1,1,121.5,0,0,0,ボール
788117,2026-03-07,Pool C,C,2,Chinese Taipei,Czechia,626416,Jan Novak,644374,Yu Chang,3,チェンジアップ,ボール,1,2,132.4,0,0,0,ボール
788117,2026-03-07,Pool C,C,2,Chinese Taipei,Czechia,626416,Jan Novak,644374,Yu Chang,4,直球,インプレー,1,2,141.3,1,1,1,インプレー
788117,2026-03-07,Pool C,C,2,Czechia,Chinese Taipei,800018,Chen Zhong-Ao Zhuang,693973,Martin Muzik,1,直球,ボール,0,1,148.4,0,0,0,ボール
788117,2026-03-07,Pool C,C,2,Czechia,Chinese Taipei,800018,Chen Zhong-Ao Zhuang,693973,Martin Muzik,2,直球,ストライク（空振り）,1,1,145.3,1,1,0,ストライク
788117,2026-03-07,Pool C,C,2,Czechia,Chinese Taipei,800018,Chen Zhong-Ao Zhuang,693973,Martin Muzik,3,カーブ,ストライク（見逃し）,2,1,125.2,1,0,0,ストライク
788117,2026-03-07,Pool C,C,2,Czechia,Chinese Taipei,800018,Chen Zhong-Ao Zhuang,693973,Martin Muzik,4,直球,ストライク（空振り）,3,1,151.9,1,1,0,ストライク
788117,2026-03-07,Pool C,C,2,Czechia,Chinese Taipei,800018,Chen Zhong-Ao Zhuang,693975,Martin Cervinka,1,カーブ,ボール,0,1,126.8,0,0,0,ボール
788117,2026-03-07,Pool C,C,2,Czechia,Chinese Taipei,800018,Chen Zhong-Ao Zhuang,693975,Martin Cervinka,2,チェンジアップ,ストライク（空振り）,1,1,130.2,1,1,0,ストライク
788117,2026-03-07,Pool C,C,2,Czechia,Chinese Taipei,800018,Chen Zhong-Ao Zhuang,693975,Martin Cervinka,3,直球,ファール,2,1,148.7,1,1,1,ファール
788117,2026-03-07,Pool C,C,2,Czechia,Chinese Taipei,800018,Chen Zhong-Ao Zhuang,693975,Martin Cervinka,4,カーブ,インプレー,2,1,123.1,1,1,1,インプレー
788117,2026-03-07,Pool C,C,2,Czechia,Chinese Taipei,800018,Chen Zhong-Ao Zhuang,687781,Vojtech Mensik,1,直球,ファール,1,0,148.5,1,1,1,ファール
788117,2026-03-07,Pool C,C,2,Czechia,Chinese Taipei,800018,Chen Zhong-Ao Zhuang,687781,Vojtech Mensik,2,チェンジアップ,ファール,2,0,130.7,1,1,1,ファール
788117,2026-03-07,Pool C,C,2,Czechia,Chinese Taipei,800018,Chen Zhong-Ao Zhuang,687781,Vojtech Mensik,3,チェンジアップ,死球,2,0,135.3,0,0,0,ボール
788117,2026-03-07,Pool C,C,2,Czechia,Chinese Taipei,800018,Chen Zhong-Ao Zhuang,838351,Max Prejda,1,チェンジアップ,ストライク（見逃し）,1,0,131.8,1,0,0,ストライク
788117,2026-03-07,Pool C,C,2,Czechia,Chinese Taipei,800018,Chen Zhong-Ao Zhuang,838351,Max Prejda,2,直球,ファール,2,0,146.3,1,1,1,ファール
788117,2026-03-07,Pool C,C,2,Czechia,Chinese Taipei,800018,Chen Zhong-Ao Zhuang,838351,Max Prejda,3,直球,インプレー,2,0,150.0,1,1,1,インプレー
788117,2026-03-07,Pool C,C,3,Chinese Taipei,Czechia,626416,Jan Novak,838360,An-Ko Lin,1,直球,ボール,0,1,140.3,0,0,0,ボール
788117,2026-03-07,Pool C,C,3,Chinese Taipei,Czechia,626416,Jan Novak,838360,An-Ko Lin,2,直球,ファール,1,1,139.7,1,1,1,ファール
788117,2026-03-07,Pool C,C,3,Chinese Taipei,Czechia,626416,Jan Novak,838360,An-Ko Lin,3,スライダー,ボール,1,2,122.0,0,0,0,ボール
788117,2026-03-07,Pool C,C,3,Chinese Taipei,Czechia,626416,Jan Novak,838360,An-Ko Lin,4,直球,インプレー,1,2,140.3,1,1,1,インプレー
788117,2026-03-07,Pool C,C,3,Chinese Taipei,Czechia,626416,Jan Novak,644375,Kungkuan Giljegiljaw,1,チェンジアップ,ボール,0,1,133.6,0,0,0,ボール
788117,2026-03-07,Pool C,C,3,Chinese Taipei,Czechia,626416,Jan Novak,644375,Kungkuan Giljegiljaw,2,ツーシーム,ボール,0,2,140.8,0,0,0,ボール
788117,2026-03-07,Pool C,C,3,Chinese Taipei,Czechia,626416,Jan Novak,644375,Kungkuan Giljegiljaw,3,直球,ストライク（見逃し）,1,2,140.0,1,0,0,ストライク
788117,2026-03-07,Pool C,C,3,Chinese Taipei,Czechia,626416,Jan Novak,644375,Kungkuan Giljegiljaw,4,スライダー,ファール,2,2,122.8,1,1,1,ファール
788117,2026-03-07,Pool C,C,3,Chinese Taipei,Czechia,626416,Jan Novak,644375,Kungkuan Giljegiljaw,5,スライダー,ストライク（空振り）,3,2,122.0,1,1,0,ストライク
788117,2026-03-07,Pool C,C,3,Chinese Taipei,Czechia,626416,Jan Novak,670076,Lyle Lin,1,チェンジアップ,ボール,0,1,132.8,0,0,0,ボール
788117,2026-03-07,Pool C,C,3,Chinese Taipei,Czechia,626416,Jan Novak,670076,Lyle Lin,2,直球,ストライク（見逃し）,1,1,140.8,1,0,0,ストライク
788117,2026-03-07,Pool C,C,3,Chinese Taipei,Czechia,626416,Jan Novak,670076,Lyle Lin,3,直球,ボール,1,2,140.2,0,0,0,ボール
788117,2026-03-07,Pool C,C,3,Chinese Taipei,Czechia,626416,Jan Novak,670076,Lyle Lin,4,チェンジアップ,ボール,1,3,132.3,0,0,0,ボール
788117,2026-03-07,Pool C,C,3,Chinese Taipei,Czechia,626416,Jan Novak,670076,Lyle Lin,5,直球,ボール,1,4,140.7,0,0,0,ボール
788117,2026-03-07,Pool C,C,3,Chinese Taipei,Czechia,667766,Tomas Duffek,808997,Kun-Yu Chiang,1,チェンジアップ,ボール,0,1,129.9,0,0,0,ボール
788117,2026-03-07,Pool C,C,3,Chinese Taipei,Czechia,667766,Tomas Duffek,808997,Kun-Yu Chiang,2,チェンジアップ,ファール,1,1,131.3,1,1,1,ファール
788117,2026-03-07,Pool C,C,3,Chinese Taipei,Czechia,667766,Tomas Duffek,808997,Kun-Yu Chiang,3,チェンジアップ,ストライク（見逃し）,2,1,129.9,1,0,0,ストライク
788117,2026-03-07,Pool C,C,3,Chinese Taipei,Czechia,667766,Tomas Duffek,808997,Kun-Yu Chiang,4,カーブ,インプレー,2,1,120.2,1,1,1,インプレー
788117,2026-03-07,Pool C,C,3,Czechia,Chinese Taipei,800018,Chen Zhong-Ao Zhuang,679631,Terrin Vavra,1,チェンジアップ,ボール,0,1,128.1,0,0,0,ボール
788117,2026-03-07,Pool C,C,3,Czechia,Chinese Taipei,800018,Chen Zhong-Ao Zhuang,679631,Terrin Vavra,2,チェンジアップ,ボール,0,2,129.7,0,0,0,ボール
788117,2026-03-07,Pool C,C,3,Czechia,Chinese Taipei,800018,Chen Zhong-Ao Zhuang,679631,Terrin Vavra,3,直球,ボール,0,3,142.4,0,0,0,ボール
788117,2026-03-07,Pool C,C,3,Czechia,Chinese Taipei,800018,Chen Zhong-Ao Zhuang,679631,Terrin Vavra,4,直球,ストライク（見逃し）,1,3,145.2,1,0,0,ストライク
788117,2026-03-07,Pool C,C,3,Czechia,Chinese Taipei,800018,Chen Zhong-Ao Zhuang,679631,Terrin Vavra,5,直球,ストライク（見逃し）,2,3,143.1,1,0,0,ストライク
788117,2026-03-07,Pool C,C,3,Czechia,Chinese Taipei,800018,Chen Zhong-Ao Zhuang,679631,Terrin Vavra,6,チェンジアップ,ファール,2,3,134.7,1,1,1,ファール
788117,2026-03-07,Pool C,C,3,Czechia,Chinese Taipei,800018,Chen Zhong-Ao Zhuang,679631,Terrin Vavra,7,チェンジアップ,ファール,2,3,134.9,1,1,1,ファール
788117,2026-03-07,Pool C,C,3,Czechia,Chinese Taipei,800018,Chen Zhong-Ao Zhuang,679631,Terrin Vavra,8,直球,インプレー,2,3,148.7,1,1,1,インプレー
788117,2026-03-07,Pool C,C,3,Czechia,Chinese Taipei,800018,Chen Zhong-Ao Zhuang,679925,William Escala,1,カーブ,ファール,1,0,118.6,1,1,1,ファール
788117,2026-03-07,Pool C,C,3,Czechia,Chinese Taipei,800018,Chen Zhong-Ao Zhuang,679925,William Escala,2,直球,ボール,1,1,150.8,0,0,0,ボール
788117,2026-03-07,Pool C,C,3,Czechia,Chinese Taipei,800018,Chen Zhong-Ao Zhuang,679925,William Escala,3,チェンジアップ,ストライク（空振り）,2,1,133.7,1,1,0,ストライク
788117,2026-03-07,Pool C,C,3,Czechia,Chinese Taipei,800018,Chen Zhong-Ao Zhuang,679925,William Escala,4,直球,インプレー,2,1,152.6,1,1,1,インプレー
788117,2026-03-07,Pool C,C,3,Czechia,Chinese Taipei,800018,Chen Zhong-Ao Zhuang,803013,Marek Chlup,1,カーブ,ボール,0,1,119.3,0,0,0,ボール
788117,2026-03-07,Pool C,C,3,Czechia,Chinese Taipei,800018,Chen Zhong-Ao Zhuang,803013,Marek Chlup,2,スライダー,ボール,0,2,126.7,0,0,0,ボール
788117,2026-03-07,Pool C,C,3,Czechia,Chinese Taipei,800018,Chen Zhong-Ao Zhuang,803013,Marek Chlup,3,直球,ファール,1,2,146.9,1,1,1,ファール
788117,2026-03-07,Pool C,C,3,Czechia,Chinese Taipei,800018,Chen Zhong-Ao Zhuang,803013,Marek Chlup,4,チェンジアップ,ファール,2,2,133.3,1,1,1,ファール
788117,2026-03-07,Pool C,C,3,Czechia,Chinese Taipei,800018,Chen Zhong-Ao Zhuang,803013,Marek Chlup,5,スライダー,ボール,2,3,129.9,0,0,0,ボール
788117,2026-03-07,Pool C,C,3,Czechia,Chinese Taipei,800018,Chen Zhong-Ao Zhuang,803013,Marek Chlup,6,直球,ヒットバイピッチ,2,4,150.6,0,0,0,ボール
788117,2026-03-07,Pool C,C,3,Czechia,Chinese Taipei,801179,Yu-Min Lin,548431,Martin Cervenka,1,直球,ボール,0,1,150.6,0,0,0,ボール
788117,2026-03-07,Pool C,C,3,Czechia,Chinese Taipei,801179,Yu-Min Lin,548431,Martin Cervenka,2,チェンジアップ,ストライク（見逃し）,1,1,132.4,1,0,0,ストライク
788117,2026-03-07,Pool C,C,3,Czechia,Chinese Taipei,801179,Yu-Min Lin,548431,Martin Cervenka,3,カーブ,インプレー,1,1,130.2,1,1,1,インプレー
788117,2026-03-07,Pool C,C,4,Chinese Taipei,Czechia,667766,Tomas Duffek,808992,Chen-Wei Chen,1,カーブ,ストライク（見逃し）,1,0,112.2,1,0,0,ストライク
788117,2026-03-07,Pool C,C,4,Chinese Taipei,Czechia,667766,Tomas Duffek,808992,Chen-Wei Chen,2,カーブ,インプレー,1,0,113.1,1,1,1,インプレー
788117,2026-03-07,Pool C,C,4,Chinese Taipei,Czechia,667766,Tomas Duffek,691907,Tsung-Che Cheng,1,チェンジアップ,ストライク（見逃し）,1,0,128.4,1,0,0,ストライク
788117,2026-03-07,Pool C,C,4,Chinese Taipei,Czechia,667766,Tomas Duffek,691907,Tsung-Che Cheng,2,カーブ,ストライク（見逃し）,2,0,114.9,1,0,0,ストライク
788117,2026-03-07,Pool C,C,4,Chinese Taipei,Czechia,667766,Tomas Duffek,691907,Tsung-Che Cheng,3,カーブ,ボール,2,1,115.1,0,0,0,ボール
788117,2026-03-07,Pool C,C,4,Chinese Taipei,Czechia,667766,Tomas Duffek,691907,Tsung-Che Cheng,4,スライダー,ファール,2,1,121.2,1,1,1,ファール
788117,2026-03-07,Pool C,C,4,Chinese Taipei,Czechia,667766,Tomas Duffek,691907,Tsung-Che Cheng,5,カーブ,ボール,2,2,121.7,0,0,0,ボール
788117,2026-03-07,Pool C,C,4,Chinese Taipei,Czechia,667766,Tomas Duffek,691907,Tsung-Che Cheng,6,チェンジアップ,ボール,2,3,122.6,0,0,0,ボール
788117,2026-03-07,Pool C,C,4,Chinese Taipei,Czechia,667766,Tomas Duffek,691907,Tsung-Che Cheng,7,チェンジアップ,ボール,2,4,129.1,0,0,0,ボール
788117,2026-03-07,Pool C,C,4,Chinese Taipei,Czechia,667766,Tomas Duffek,830723,Cheng-Hui Sung,1,チェンジアップ,ボール,0,1,131.5,0,0,0,ボール
788117,2026-03-07,Pool C,C,4,Chinese Taipei,Czechia,667766,Tomas Duffek,830723,Cheng-Hui Sung,2,カーブ,ボール,0,2,120.7,0,0,0,ボール
788117,2026-03-07,Pool C,C,4,Chinese Taipei,Czechia,667766,Tomas Duffek,830723,Cheng-Hui Sung,3,カーブ,ボール（自動）,0,3,120.5,0,0,0,ボール
788117,2026-03-07,Pool C,C,4,Chinese Taipei,Czechia,667766,Tomas Duffek,830723,Cheng-Hui Sung,4,チェンジアップ,ストライク（見逃し）,1,3,130.7,1,0,0,ストライク
788117,2026-03-07,Pool C,C,4,Chinese Taipei,Czechia,667766,Tomas Duffek,830723,Cheng-Hui Sung,5,チェンジアップ,ストライク（見逃し）,2,3,130.8,1,0,0,ストライク
788117,2026-03-07,Pool C,C,4,Chinese Taipei,Czechia,667766,Tomas Duffek,830723,Cheng-Hui Sung,6,カーブ,ストライク（空振り）,3,3,122.0,1,1,0,ストライク
788117,2026-03-07,Pool C,C,4,Chinese Taipei,Czechia,667766,Tomas Duffek,656413,Stuart Fairchild,1,カーブ,ストライク（見逃し）,1,0,121.5,1,0,0,ストライク
788117,2026-03-07,Pool C,C,4,Chinese Taipei,Czechia,667766,Tomas Duffek,656413,Stuart Fairchild,2,カーブ,ボール,1,1,121.7,0,0,0,ボール
788117,2026-03-07,Pool C,C,4,Chinese Taipei,Czechia,667766,Tomas Duffek,656413,Stuart Fairchild,3,チェンジアップ,ボール,1,2,131.3,0,0,0,ボール
788117,2026-03-07,Pool C,C,4,Chinese Taipei,Czechia,667766,Tomas Duffek,656413,Stuart Fairchild,4,カーブ,ボール,1,3,120.2,0,0,0,ボール
788117,2026-03-07,Pool C,C,4,Chinese Taipei,Czechia,667766,Tomas Duffek,644374,Yu Chang,1,チェンジアップ,ストライク（見逃し）,1,0,132.4,1,0,0,ストライク
788117,2026-03-07,Pool C,C,4,Chinese Taipei,Czechia,667766,Tomas Duffek,644374,Yu Chang,2,カーブ,ストライク（空振り）,2,0,120.4,1,1,0,ストライク
788117,2026-03-07,Pool C,C,4,Chinese Taipei,Czechia,667766,Tomas Duffek,644374,Yu Chang,3,カーブ,ボール,2,1,122.1,0,0,0,ボール
788117,2026-03-07,Pool C,C,4,Chinese Taipei,Czechia,667766,Tomas Duffek,644374,Yu Chang,4,カーブ,ファール,2,1,119.9,1,1,1,ファール
788117,2026-03-07,Pool C,C,4,Chinese Taipei,Czechia,667766,Tomas Duffek,644374,Yu Chang,5,カーブ,エラー（投球）,2,1,114.6,0,0,0,ボール
788117,2026-03-07,Pool C,C,4,Chinese Taipei,Czechia,667766,Tomas Duffek,838360,An-Ko Lin,1,カーブ,ボール,0,1,113.5,0,0,0,ボール
788117,2026-03-07,Pool C,C,4,Chinese Taipei,Czechia,667766,Tomas Duffek,838360,An-Ko Lin,2,スライダー,ボール,0,2,130.0,0,0,0,ボール
788117,2026-03-07,Pool C,C,4,Chinese Taipei,Czechia,667766,Tomas Duffek,838360,An-Ko Lin,3,スライダー,インプレー,0,2,129.4,1,1,1,インプレー
788117,2026-03-07,Pool C,C,4,Czechia,Chinese Taipei,801179,Yu-Min Lin,828317,Matous Bubenik,1,直球,ストライク（空振り）,1,0,149.0,1,1,0,ストライク
788117,2026-03-07,Pool C,C,4,Czechia,Chinese Taipei,801179,Yu-Min Lin,828317,Matous Bubenik,2,直球,ボール,1,1,149.7,0,0,0,ボール
788117,2026-03-07,Pool C,C,4,Czechia,Chinese Taipei,801179,Yu-Min Lin,828317,Matous Bubenik,3,チェンジアップ,ストライク（空振り）,2,1,132.3,1,1,0,ストライク
788117,2026-03-07,Pool C,C,4,Czechia,Chinese Taipei,801179,Yu-Min Lin,828317,Matous Bubenik,4,チェンジアップ,ボール,2,2,132.6,0,0,0,ボール
788117,2026-03-07,Pool C,C,4,Czechia,Chinese Taipei,801179,Yu-Min Lin,828317,Matous Bubenik,5,直球,死球,2,2,150.2,0,0,0,ボール
788117,2026-03-07,Pool C,C,4,Czechia,Chinese Taipei,801179,Yu-Min Lin,693973,Martin Muzik,1,チェンジアップ,ストライク（見逃し）,1,0,132.1,1,0,0,ストライク
788117,2026-03-07,Pool C,C,4,Czechia,Chinese Taipei,801179,Yu-Min Lin,693973,Martin Muzik,2,直球,ボール,1,1,151.8,0,0,0,ボール
788117,2026-03-07,Pool C,C,4,Czechia,Chinese Taipei,801179,Yu-Min Lin,693973,Martin Muzik,3,チェンジアップ,ボール,1,2,132.3,0,0,0,ボール
788117,2026-03-07,Pool C,C,4,Czechia,Chinese Taipei,801179,Yu-Min Lin,693973,Martin Muzik,4,スイーパー,ストライク（見逃し）,2,2,135.3,1,0,0,ストライク
788117,2026-03-07,Pool C,C,4,Czechia,Chinese Taipei,801179,Yu-Min Lin,693973,Martin Muzik,5,チェンジアップ,ストライク（空振り）,3,2,131.0,1,1,0,ストライク
788117,2026-03-07,Pool C,C,4,Czechia,Chinese Taipei,801179,Yu-Min Lin,693975,Martin Cervinka,1,スイーパー,ストライク（見逃し）,1,0,134.7,1,0,0,ストライク
788117,2026-03-07,Pool C,C,4,Czechia,Chinese Taipei,801179,Yu-Min Lin,693975,Martin Cervinka,2,カーブ,ボール,1,1,130.0,0,0,0,ボール
788117,2026-03-07,Pool C,C,4,Czechia,Chinese Taipei,801179,Yu-Min Lin,693975,Martin Cervinka,3,チェンジアップ,ストライク（空振り）,2,1,129.1,1,1,0,ストライク
788117,2026-03-07,Pool C,C,4,Czechia,Chinese Taipei,801179,Yu-Min Lin,693975,Martin Cervinka,4,カーブ,死球,2,1,130.0,0,0,0,ボール
788117,2026-03-07,Pool C,C,4,Czechia,Chinese Taipei,801179,Yu-Min Lin,687781,Vojtech Mensik,1,スイーパー,ストライク（空振り）,1,0,135.3,1,1,0,ストライク
788117,2026-03-07,Pool C,C,4,Czechia,Chinese Taipei,801179,Yu-Min Lin,687781,Vojtech Mensik,2,直球,ファールチップ,2,0,148.2,1,1,1,ファール
788117,2026-03-07,Pool C,C,4,Czechia,Chinese Taipei,801179,Yu-Min Lin,687781,Vojtech Mensik,3,直球,ストライク（見逃し）,3,0,150.2,1,0,0,ストライク
788117,2026-03-07,Pool C,C,4,Czechia,Chinese Taipei,801179,Yu-Min Lin,838351,Max Prejda,1,直球,インプレー,0,0,148.5,1,1,1,インプレー
788117,2026-03-07,Pool C,C,5,Chinese Taipei,Czechia,808951,Jeff Barto,644375,Kungkuan Giljegiljaw,1,直球,インプレー,0,0,131.6,1,1,1,インプレー
788117,2026-03-07,Pool C,C,5,Chinese Taipei,Czechia,808951,Jeff Barto,670076,Lyle Lin,1,直球,ストライク（見逃し）,1,0,130.0,1,0,0,ストライク
788117,2026-03-07,Pool C,C,5,Chinese Taipei,Czechia,808951,Jeff Barto,670076,Lyle Lin,2,チェンジアップ,ファール,2,0,120.4,1,1,1,ファール
788117,2026-03-07,Pool C,C,5,Chinese Taipei,Czechia,808951,Jeff Barto,670076,Lyle Lin,3,直球,ボール,2,1,130.4,0,0,0,ボール
788117,2026-03-07,Pool C,C,5,Chinese Taipei,Czechia,808951,Jeff Barto,670076,Lyle Lin,4,カーブ,死球,2,1,113.0,0,0,0,ボール
788117,2026-03-07,Pool C,C,5,Chinese Taipei,Czechia,808951,Jeff Barto,808997,Kun-Yu Chiang,1,直球,死球,0,0,130.5,0,0,0,ボール
788117,2026-03-07,Pool C,C,5,Chinese Taipei,Czechia,808951,Jeff Barto,808992,Chen-Wei Chen,1,スライダー,ボール,0,1,115.2,0,0,0,ボール
788117,2026-03-07,Pool C,C,5,Chinese Taipei,Czechia,808951,Jeff Barto,808992,Chen-Wei Chen,2,スライダー,エラー（投球）,0,1,117.8,0,0,0,ボール
788117,2026-03-07,Pool C,C,5,Chinese Taipei,Czechia,808951,Jeff Barto,691907,Tsung-Che Cheng,1,直球,ボール,0,1,128.1,0,0,0,ボール
788117,2026-03-07,Pool C,C,5,Chinese Taipei,Czechia,808951,Jeff Barto,691907,Tsung-Che Cheng,2,チェンジアップ,ストライク（空振り）,1,1,116.4,1,1,0,ストライク
788117,2026-03-07,Pool C,C,5,Chinese Taipei,Czechia,808951,Jeff Barto,691907,Tsung-Che Cheng,3,チェンジアップ,ストライク（空振り）,2,1,116.8,1,1,0,ストライク
788117,2026-03-07,Pool C,C,5,Chinese Taipei,Czechia,808951,Jeff Barto,691907,Tsung-Che Cheng,4,チェンジアップ,ボール,2,2,116.7,0,0,0,ボール
788117,2026-03-07,Pool C,C,5,Chinese Taipei,Czechia,808951,Jeff Barto,691907,Tsung-Che Cheng,5,直球,ボール,2,3,133.9,0,0,0,ボール
788117,2026-03-07,Pool C,C,5,Chinese Taipei,Czechia,808951,Jeff Barto,691907,Tsung-Che Cheng,6,チェンジアップ,ファール,2,3,117.3,1,1,1,ファール
788117,2026-03-07,Pool C,C,5,Chinese Taipei,Czechia,808951,Jeff Barto,691907,Tsung-Che Cheng,7,直球,ボール,2,4,132.9,0,0,0,ボール
788117,2026-03-07,Pool C,C,5,Chinese Taipei,Czechia,693978,Lukas Hlouch,830723,Cheng-Hui Sung,1,直球,ボール,0,1,142.4,0,0,0,ボール
788117,2026-03-07,Pool C,C,5,Chinese Taipei,Czechia,693978,Lukas Hlouch,830723,Cheng-Hui Sung,2,カットボール,ストライク（見逃し）,1,1,139.7,1,0,0,ストライク
788117,2026-03-07,Pool C,C,5,Chinese Taipei,Czechia,693978,Lukas Hlouch,830723,Cheng-Hui Sung,3,直球,ファール,2,1,140.5,1,1,1,ファール
788117,2026-03-07,Pool C,C,5,Chinese Taipei,Czechia,693978,Lukas Hlouch,830723,Cheng-Hui Sung,4,スライダー,インプレー,2,1,129.7,1,1,1,インプレー
788117,2026-03-07,Pool C,C,5,Czechia,Chinese Taipei,801179,Yu-Min Lin,679631,Terrin Vavra,1,直球,ストライク（見逃し）,1,0,144.2,1,0,0,ストライク
788117,2026-03-07,Pool C,C,5,Czechia,Chinese Taipei,801179,Yu-Min Lin,679631,Terrin Vavra,2,スイーパー,ボール,1,1,133.4,0,0,0,ボール
788117,2026-03-07,Pool C,C,5,Czechia,Chinese Taipei,801179,Yu-Min Lin,679631,Terrin Vavra,3,カーブ,ボール,1,2,129.6,0,0,0,ボール
788117,2026-03-07,Pool C,C,5,Czechia,Chinese Taipei,801179,Yu-Min Lin,679631,Terrin Vavra,4,直球,インプレー,1,2,146.9,1,1,1,インプレー
788117,2026-03-07,Pool C,C,5,Czechia,Chinese Taipei,801179,Yu-Min Lin,679925,William Escala,1,直球,インプレー,0,0,149.3,1,1,1,インプレー
788117,2026-03-07,Pool C,C,5,Czechia,Chinese Taipei,801179,Yu-Min Lin,803013,Marek Chlup,1,直球,ファール,1,0,150.3,1,1,1,ファール
