試合ID,日付,ラウンド,プール,守備チーム,投手ID,投手,投球回,投球回（小数）,自責点,失点,被安打,奪三振,与四球,被本塁打,対戦打者数,投球数
788139,2026-03-06,Pool A,A,Panama,665789,Kenny Hernandez,1.0,1.0,0,0,0,0,0,0,3,5
788139,2026-03-06,Pool A,A,Panama,642770,Javy Guerra,1.0,1.0,0,0,0,1,0,0,3,12
788110,2026-03-06,Pool D,D,Kingdom of the Netherlands,699008,Antwone Kelly,3.0,3.0,2,2,4,1,1,1,13,48
788110,2026-03-06,Pool D,D,Kingdom of the Netherlands,820853,Ryjeteri Merite,1.0,1.0,0,0,1,0,0,0,4,16
788110,2026-03-06,Pool D,D,Kingdom of the Netherlands,692838,Jaydenn Estanista,0.0,0.0,4,4,1,0,2,0,4,15
788110,2026-03-06,Pool D,D,Kingdom of the Netherlands,677804,Eric Mendez,1.0,1.0,0,0,2,1,1,0,5,25
788110,2026-03-06,Pool D,D,Kingdom of the Netherlands,622464,Wendell Floranus,2.0,2.0,0,0,1,2,0,0,7,24
788110,2026-03-06,Pool D,D,Kingdom of the Netherlands,543833,Juan Carlos Sulbaran,1.0,1.0,0,0,2,0,0,0,4,12
788110,2026-03-06,Pool D,D,Venezuela,624133,Ranger Suarez,2.0,2.0,1,1,3,1,1,0,10,43
788110,2026-03-06,Pool D,D,Venezuela,660825,Eduard Bazardo,1.0,1.0,0,0,0,0,0,0,3,10
788110,2026-03-06,Pool D,D,Venezuela,679883,Luinder Avila,2.0,2.0,0,1,1,2,3,0,11,44
788110,2026-03-06,Pool D,D,Venezuela,676130,José Buttó,2.0,2.0,0,0,0,1,0,0,7,28
788110,2026-03-06,Pool D,D,Venezuela,600921,Andrés Machado,1.0,1.0,0,0,0,2,0,0,4,20
788110,2026-03-06,Pool D,D,Venezuela,694037,Daniel Palencia,1.0,1.0,0,0,0,2,0,0,4,14
788129,2026-03-06,Pool B,B,Mexico,665871,Javier Assad,3.2,3.6666666666666665,0,0,2,2,1,0,13,51
788129,2026-03-06,Pool B,B,Mexico,657514,Brennan Bernardino,1.0,1.0,0,0,1,2,0,0,4,12
788129,2026-03-06,Pool B,B,Mexico,703725,Luis Gastelum,0.1,0.3333333333333333,0,0,1,0,0,0,2,7
788129,2026-03-06,Pool B,B,Mexico,692024,Alex Carrillo,0.2,0.6666666666666666,1,1,1,1,0,1,3,13
788129,2026-03-06,Pool B,B,Mexico,696519,Samy Natera Jr.,0.1,0.3333333333333333,0,0,1,0,2,0,3,17
788129,2026-03-06,Pool B,B,Mexico,676395,Robert Garcia,1.0,1.0,0,0,0,1,0,0,3,9
788129,2026-03-06,Pool B,B,Mexico,680767,Victor Vodnik,1.0,1.0,0,0,0,0,2,0,5,26
788129,2026-03-06,Pool B,B,Mexico,662253,Andrés Muñoz,1.0,1.0,1,1,2,2,0,0,5,22
788129,2026-03-06,Pool B,B,Great Britain,681252,Jack Anderson,3.0,3.0,1,1,2,3,0,1,11,54
788129,2026-03-06,Pool B,B,Great Britain,657101,Nick Wells,2.0,2.0,0,0,0,1,0,0,6,20
788129,2026-03-06,Pool B,B,Great Britain,702465,Ryan Long,1.0,1.0,0,0,0,1,1,0,5,19
788129,2026-03-06,Pool B,B,Great Britain,804541,Gary Gill Hill,1.2,1.6666666666666665,2,2,0,3,2,0,7,30
788129,2026-03-06,Pool B,B,Great Britain,663941,Tristan Beck,0.1,0.3333333333333333,1,1,1,0,0,1,2,4
788129,2026-03-06,Pool B,B,Great Britain,676942,Graham Spraker,0.1,0.3333333333333333,3,3,1,0,2,0,4,22
788129,2026-03-06,Pool B,B,Great Britain,592229,Dylan Covey,0.2,0.6666666666666666,1,1,2,1,0,0,4,13
788136,2026-03-06,Pool A,A,Puerto Rico,607625,Seth Lugo,4.0,4.0,0,0,3,3,2,0,17,62
788136,2026-03-06,Pool A,A,Puerto Rico,670329,Rico Garcia,1.0,1.0,0,0,0,1,1,0,4,23
788136,2026-03-06,Pool A,A,Puerto Rico,663558,Jovani Morán,1.0,1.0,0,0,0,1,1,0,4,16
788136,2026-03-06,Pool A,A,Puerto Rico,605441,Yacksel Ríos,1.0,1.0,0,0,0,1,0,0,3,16
788136,2026-03-06,Pool A,A,Puerto Rico,681938,Angel Reyes,0.2,0.6666666666666666,0,0,2,0,1,0,5,21
788136,2026-03-06,Pool A,A,Puerto Rico,518585,Fernando Cruz,0.1,0.3333333333333333,0,0,0,0,0,0,1,1
788136,2026-03-06,Pool A,A,Puerto Rico,621242,Edwin Díaz,1.0,1.0,0,0,1,3,0,0,4,24
788136,2026-03-06,Pool A,A,Colombia,500779,Jose Quintana,3.0,3.0,0,0,0,1,1,0,9,31
788136,2026-03-06,Pool A,A,Colombia,622426,Adrian Almeida,1.1,1.3333333333333333,3,5,4,3,0,0,9,33
788136,2026-03-06,Pool A,A,Colombia,800124,David Lorduy,0.2,0.6666666666666666,0,0,1,0,0,0,3,8
788136,2026-03-06,Pool A,A,Colombia,650813,Luis Escobar,1.1,1.3333333333333333,0,0,0,0,2,0,6,23
788136,2026-03-06,Pool A,A,Colombia,690345,Pedro Garcia,0.2,0.6666666666666666,0,0,0,1,1,0,3,5
788136,2026-03-06,Pool A,A,Colombia,642857,Yapson Gomez,1.0,1.0,0,0,0,1,0,0,3,10
788136,2026-03-06,Pool A,A,Colombia,672550,Danis Correa,1.0,1.0,0,0,0,2,0,0,3,17
788105,2026-03-06,Pool D,D,Nicaragua,642574,Ronald Medrano,2.2,2.6666666666666665,3,3,6,3,2,0,16,64
788105,2026-03-06,Pool D,D,Nicaragua,807358,Danilo Bermudez,1.1,1.3333333333333333,0,0,0,0,0,0,3,16
788105,2026-03-06,Pool D,D,Nicaragua,691602,Stiven Cruz,1.1,1.3333333333333333,2,2,2,1,0,1,6,29
788105,2026-03-06,Pool D,D,Nicaragua,650356,Dilmer Mejia,0.2,0.6666666666666666,0,0,0,0,0,0,2,5
788105,2026-03-06,Pool D,D,Nicaragua,808986,Duque Hebbert,0.0,0.0,1,1,1,0,1,0,3,14
788105,2026-03-06,Pool D,D,Nicaragua,830693,Kenword Burton,1.0,1.0,0,0,0,0,1,0,3,13
788105,2026-03-06,Pool D,D,Nicaragua,608476,Osman Gutierrez,0.1,0.3333333333333333,5,5,3,0,2,2,6,22
